pseudocount,genus,omitted,random_estimate,random_se,random_ci_low,random_ci_high,random_p,hksj_se_modified,hksj_ci_low_modified,hksj_ci_high_modified,hksj_p_modified,hksj_df,hksj_scale,tau2_dl,q,q_p,i2_percent
0.5,Dialister,PRJEB54571_external,0.4007840860917774,1.2343640649609406,-2.018569481231666,2.820137653415221,0.7454166739907402,1.2343640649609406,-15.283298442596502,16.084866614780058,0.8001330126224312,1,0.9999999999999996,2.8983418446282503,20.443966178418513,6.140283395168554e-06,95.10858122502843
0.5,Dorea,PRJNA784025_discovery,-0.9146503370081048,0.5408473855305239,-1.9747112126479318,0.14541053863172204,0.09080947070045946,0.540847385530524,-7.786767948722965,5.957467274706755,0.339961160531116,1,1.0000000000000004,0.3340402058055139,1.6825637566125857,0.1945841376099813,40.566888115238754
0.5,Dorea,PRJNA784025_validation,-0.9032594036355516,0.4806404463391341,-1.8453146784602543,0.03879587118915129,0.060205866300340256,0.4806404463391341,-7.010375319430694,5.20385651215959,0.3113137744463179,1,1.0000000000000002,0.2501858058126794,1.5161854249300282,0.21819766607587615,34.04500639846542
0.5,Dorea,PRJEB54571_external,-1.171546136339201,0.14332864170273785,-1.4524702740765671,-0.8906219986018349,2.987129296725754e-16,0.14332864170273785,-2.9927092024089075,0.6496169297305054,0.07749985334194803,1,0.06051780722842872,0.0,0.06051780722842872,0.8056793890641356,0.0
0.5,Eggerthella,PRJNA784025_discovery,-1.4841564303655177,1.0075303412283927,-3.458915899173167,0.49060303844213204,0.14073384478067605,1.0075303412283927,-14.286043224180766,11.31773036344973,0.37967673230935844,1,0.9999999999999998,1.7564404216198006,6.9669740339256965,0.00830277836501604,85.64656628357594
0.5,Eggerthella,PRJNA784025_validation,-1.311923617788352,0.8059474482275919,-2.8915806163144318,0.267733380737728,0.1035666790348042,0.8059474482275919,-11.55245690177314,8.928609666196436,0.35070494610564773,1,0.9999999999999997,1.0367949382623163,4.525507497633854,0.033393170092599185,77.90303075350452
0.5,Eggerthella,PRJEB54571_external,-2.19788258822788,0.21061022866388177,-2.610678636409088,-1.7850865400466718,1.7020515539443834e-25,0.21061022866388177,-4.873939273217941,0.47817409676218103,0.06081785296278229,1,0.8738195523524654,0.0,0.8738195523524654,0.3499000608897713,0.0
0.5,Eisenbergiella,PRJNA784025_discovery,-0.3063363452609163,0.8607384805392533,-1.9933837671178527,1.3807110765960202,0.7219158734104056,0.8607384805392533,-11.243055703518142,10.630383012996308,0.7823264903472154,1,1.0,1.376305073238162,14.014213785015555,0.00018143392436771616,92.86438743307005
0.5,Eisenbergiella,PRJNA784025_validation,-0.38607230164908746,0.9176650470585782,-2.1846957938839004,1.4125511905857258,0.6739657123113723,0.9176650470585782,-12.046112269042975,11.273967665744802,0.7464771843011833,1,0.9999999999999996,1.6191700176335395,25.811789574711373,3.7638241075210776e-07,96.12580136256909
0.5,Eisenbergiella,PRJEB54571_external,-1.2631555366128087,0.18451856564794467,-1.6248119252827802,-0.9014991479428371,7.611205854423274e-12,0.18451856564794467,-3.6076862094083797,1.0813751361827624,0.09234268031614278,1,0.07444504447872627,0.0,0.07444504447872627,0.7849714501200699,0.0
0.5,Enterococcus,PRJNA784025_discovery,-1.331302927323207,1.1795821322237108,-3.64328390648168,0.980678051835266,0.2590571177297122,1.1795821322237108,-16.31931500279479,13.656709148148376,0.46157882269901257,1,0.9999999999999998,2.2364046187055058,4.993302623218592,0.025445598992171106,79.97317456085972
0.5,Enterococcus,PRJNA784025_validation,-1.6366115465663655,1.485685894426438,-4.548555899642184,1.275332806509453,0.2706414735888013,1.485685894426438,-20.514040695177925,17.240817602045198,0.46925099969874173,1,1.0,3.917881000377891,8.679162293762651,0.0032186889926434227,88.47815069988198
0.5,Enterococcus,PRJEB54571_external,-2.7850873741856828,0.3919079951103334,-3.553227044601936,-2.0169477037694294,1.1903760025504928e-12,0.3919079951103334,-7.764750597902207,2.194575849530842,0.08899860764612706,1,0.5924453549623151,0.0,0.5924453549623151,0.4414750699913108,0.0
0.5,Escherichia-Shigella,PRJNA784025_discovery,-2.4629657421293842,1.6753261675036994,-5.746605030436635,0.8206735461778667,0.1415235611725657,1.6753261675037,-23.750003026733527,18.82407154247476,0.38026450623916114,1,1.0000000000000004,5.366031177400808,22.381440479721928,2.2352363067620006e-06,95.53201233447855
0.5,Escherichia-Shigella,PRJNA784025_validation,-2.2348358420169467,1.9067668633557073,-5.972098894194133,1.5024272101602394,0.24117493178059501,1.9067668633557078,-26.46260599245901,21.99293430842512,0.44967648624327955,1,1.0000000000000004,7.030999182888956,29.866846916804448,4.627583421794352e-08,96.65180592117558
0.5,Escherichia-Shigella,PRJEB54571_external,-0.5820075472981988,0.23075472175213033,-1.0342868019323743,-0.12972829266402336,0.011662627074600885,0.23075472175213033,-3.5140242857791875,2.35000919118279,0.24030407891319075,1,1.0,0.0048977141998467755,1.0479652962814556,0.30597616318204013,4.5769928118472185
0.5,Faecalibacterium,PRJNA784025_discovery,-0.35162823557464806,0.20036354750651705,-0.7443407886874215,0.04108431753812536,0.07926766603990056,0.20036354750651705,-2.897488491910292,2.194232020760996,0.32972445778816567,1,0.10324701050654013,0.0,0.10324701050654013,0.74796734961412,0.0
0.5,Faecalibacterium,PRJNA784025_validation,0.16915340775673346,0.37255023630534,-0.5610450554017329,0.8993518709151999,0.6497986876189257,0.37255023630534007,-4.564546169345075,4.9028529848585425,0.728666246303187,1,1.0000000000000004,0.14260426704423113,1.4803750284330848,0.22371585484578072,32.44954955377366
0.5,Faecalibacterium,PRJEB54571_external,0.019326438942090247,0.34347355683019043,-0.653881732445083,0.6925346103292636,0.9551286149188984,0.34347355683019043,-4.344918895692854,4.383571773577034,0.9642166538009798,1,1.0,0.19944672797687885,6.4370814659956235,0.011176211837802425,84.4650094102028
0.5,Family XIII AD3011 group,PRJNA784025_discovery,0.43283705899848146,0.8287926661757027,-1.1915965667058956,2.057270684702859,0.6014962023251793,0.8287926661757027,-10.097972241483417,10.96364635948038,0.6936020077934169,1,1.0000000000000002,1.2861283538170902,15.669500089474749,7.543080111340927e-05,93.61817547279824
0.5,Family XIII AD3011 group,PRJNA784025_validation,0.3259250863590876,0.9295165772125683,-1.4959274049775462,2.1477775776957215,0.7258589332172978,0.9295165772125683,-11.484702849611399,12.136553022329572,0.7853036228281591,1,0.9999999999999999,1.6514666803672151,22.567597533283575,2.0287761713850193e-06,95.56886815920409
0.5,Family XIII AD3011 group,PRJEB54571_external,-0.5126355492782529,0.19776113677678306,-0.9002473773607478,-0.12502372119575816,0.009536553274269865,0.19776113677678306,-3.0254290420736094,2.0001579435171033,0.23439206288940273,1,0.2544204469317722,0.0,0.2544204469317722,0.6139795610611101,0.0
0.5,Family XIII UCG-001,PRJNA784025_discovery,0.5919446170386723,0.19356562945039535,0.21255598331589742,0.9713332507614472,0.002227392190018744,0.19356562945039535,-1.8675399006944007,3.0514291347717455,0.20119691087973235,1,0.17490439203929461,0.0,0.17490439203929461,0.675789400162377,0.0
0.5,Family XIII UCG-001,PRJNA784025_validation,0.05830366142140159,0.4469863016151878,-0.8177894897443665,0.9343968125871698,0.8962205015946441,0.4469863016151878,-5.621195801281763,5.737803124124566,0.9174272593774736,1,0.9999999999999996,0.3425680215810567,6.973839693872289,0.008270983355488442,85.66069706364672
0.5,Family XIII UCG-001,PRJEB54571_external,0.13498752159499453,0.5281778213026207,-0.900241008158142,1.170216051348131,0.7982812543399502,0.5281778213026207,-6.5761480131187495,6.8461230563087385,0.8407074899387821,1,0.9999999999999998,0.4942665700673095,8.690259500198916,0.0031991507388868796,88.49286376342259
0.5,Flavonifractor,PRJNA784025_discovery,-0.9814679949196559,0.5065821479813366,-1.9743690049630755,0.011433015123763823,0.05269267126655429,0.5065821479813366,-7.41820448299206,5.455268493152747,0.3033378106464388,1,1.0,0.24269691716266814,1.4085340427662043,0.2352999029669697,29.004200847278693
0.5,Flavonifractor,PRJNA784025_validation,-0.4881962249174036,0.2691176539733927,-1.0156668267052533,0.03927437687044605,0.06966811507728088,0.2691176539733927,-3.90766023449162,2.9312677846568125,0.3207300523804329,1,0.29641963924198467,0.0,0.29641963924198467,0.5861357406488359,0.0
0.5,Flavonifractor,PRJEB54571_external,-0.8790981247196221,0.3496286554266779,-1.5643702893559108,-0.19382596008333342,0.011924301009531697,0.3496286554266779,-5.321551402294462,3.563355152855218,0.2409817047176616,1,0.9999999999999998,0.16887768025211647,3.2333416865395197,0.07215331703108632,69.07224484925226
0.5,Fusicatenibacter,PRJNA784025_discovery,-0.27846769938599614,0.23165011934884974,-0.7325019333097416,0.17556653453774934,0.22932296202089686,0.23165011934884974,-3.221861543051411,2.6649261442794185,0.44173555204120235,1,0.3722577877452787,0.0,0.3722577877452787,0.5417761452427176,0.0
0.5,Fusicatenibacter,PRJNA784025_validation,-0.08042330559696087,0.21468780380904007,-0.5012114010626794,0.3403647898687577,0.7079536273417197,0.21468780380904007,-2.80829049520959,2.6474438840156687,0.7718195181965681,1,0.16235944127662372,0.0,0.16235944127662372,0.6869934618229527,0.0
0.5,Fusicatenibacter,PRJEB54571_external,-0.1975290303425017,0.16159588116333415,-0.5142569574226366,0.11919889673763323,0.2215699069466912,0.16159588116333415,-2.250799380967976,1.8557413202829727,0.43651270749182003,1,0.43087855928249486,0.0,0.43087855928249486,0.5115581672190067,0.0
0.5,Fusobacterium,PRJNA784025_discovery,-1.2788776251349498,0.5134163494961366,-2.2851736701473775,-0.2725815801225222,0.012741380246665894,0.5134163494961366,-7.8024508768644365,5.244695626594537,0.24303794418859873,1,2.737759782044093e-05,0.0,2.737759782044093e-05,0.9958251992816874,0.0
